DRG_id,Country Total Payments,Country Total Discharges,Country Average Payment
039 ,229978788.44,33606,6843.384765815628
057 ,210369335.8,30212,6963.105249569708
064 ,855210713.87,62093,13773.061599053033
065 ,856882810.93,106414,8052.350357377788
066 ,323204525.78,55849,5787.113928270873
069 ,403881516.69,79590,5074.525903882397
074 ,140810844.3,21659,6501.262491343091
101 ,283287580.18,48854,5798.656817865477
149 ,109301759.77,23427,4665.631953301746
176 ,235888597.08,32042,7361.856222458025
177 ,923743816.41,66660,13857.543000450045
178 ,558815340.97,56100,9961.057771301248
189 ,852648643.28,95099,8965.9054593634
190 ,1215612368.77,149677,8121.570907821509
191 ,984666817.82,148491,6631.154870126809
192 ,566712861.49,114790,4936.9532319017335
193 ,1278689719.87,127989,9990.622005562976
194 ,1381622563.58,198390,6964.174421997076
195 ,385807689.84,79873,4830.264167365693
202 ,195151467.36,32086,6082.137610172661
203 ,73866266.11,16577,4455.948972069735
207 ,1032054686.35,26412,39075.21908034227
208 ,1117055395.67,68080,16407.981722532317
238 ,773549503.72,34669,22312.426194006173
243 ,539021805.44,29646,18181.940411522635
244 ,391042793.15,27951,13990.297060928051
246 ,632511893.4,27104,23336.477767119242
247 ,1547430311.47,108272,14292.063612660706
249 ,408886848.47,32647,12524.484591846112
251 ,396664666.23,28583,13877.642872686563
252 ,800438913,34222,23389.600637017124
253 ,643317773.5,36434,17657.0723362793
254 ,307880772.34,26385,11668.780456319877
280 ,809475254.99,63934,12661.107626458535
281 ,331518122.66,40836,8118.280993731022
282 ,119621476.4,21596,5539.057066123357
286 ,339532867.54,21820,15560.626376718608
287 ,894973903.84,115920,7720.616837819186
291 ,1931859281.24,185599,10408.780657438887
292 ,1576118925.67,222038,7098.419755492303
293 ,422873165.02,89217,4739.827219251936
300 ,266470750.28,38458,6928.876963960684
301 ,77960242.84,16744,4656.010680840898
303 ,125338474.95,30184,4152.480617214418
305 ,113059514.52,25205,4485.598671692124
308 ,534316077.08,61060,8750.67273304946
309 ,599506647.08,102484,5849.758470395379
310 ,449133421.69,113454,3958.727076083699
312 ,731758823.2,141918,5156.208678250821
313 ,526258724.94,131079,4014.821023504909
314 ,710482136.74,51079,13909.47623759275
315 ,128243097.92,17478,7337.401185490331
329 ,1425270202.7,37250,38262.28732080537
330 ,925957043.77,50766,18239.70854055864
372 ,253959899.01,28509,8908.060577712302
377 ,616117507.57,48398,12730.226612050086
378 ,982396819.93,138678,7084.013469548162
379 ,167991177.04,33393,5030.730303955918
389 ,304980445.48,46860,6508.332169867692
390 ,140500670.54,31249,4496.165334570706
391 ,371546865.91,43026,8635.403381908614
392 ,1248038285.5,244854,5097.07125674892
394 ,299569363.2,41346,7245.425511536787
418 ,209940399.88,18227,11518.099516102486
419 ,130265463.07000001,16157,8062.478372841493
439 ,133247193.25,17948,7424.069158123468
460 ,1804859841.59,65997,27347.604309135262
469 ,418260060.82,18714,22350.115465426952
470 ,6119517822.21,427207,14324.47928570927
473 ,343210931.63,23834,14400.055871024586
480 ,374380101.42,17851,20972.500219595542
481 ,975941373.21,77525,12588.731031409223
482 ,215660947.02,20739,10398.811274410531
491 ,245608115.88,34579,7102.811413863906
536 ,109580181.56,22728,4821.37370468145
552 ,368685554.45,63116,5841.396071519108
563 ,104872425.55,20278,5171.734172502219
602 ,186442158.87,17714,10525.130341537768
603 ,829516220.64,140894,5887.519842150837
638 ,291510619.25,48025,6069.976454971369
640 ,475180552.45,56816,8363.498881477048
641 ,749688996.5600001,153660,4878.881924768971
682 ,1180346274.69,101029,11683.24218481822
683 ,1069449494.84,150444,7108.621778469065
684 ,91143382.5,19540,4664.4515097236435
689 ,547559564.8,66583,8223.714233362869
690 ,1118183541.93,206695,5409.82385606812
698 ,273179486.43,22085,12369.45829431741
699 ,191539768.19,23755,8063.134842769943
811 ,228025816.34,24148,9442.844804538678
812 ,532805130.4,92851,5738.281013667058
853 ,1629325562.28,39482,41267.55387974266
870 ,1036185995.3,22624,45800.30035802687
871 ,4355637387.15,319072,13650.954603193008
872 ,895936470.34,112430,7968.838124521925
885 ,644300164.13,89733,7180.191948669943
897 ,161820665.9,31935,5067.188536088931
917 ,183684460.44,16952,10835.562791411043
918 ,133780716.13,29225,4577.612185799829
948 ,249381614.44,50411,4946.968210112872
